Month,Hyundai,Renault,Tata,Toyota,Industry_Total,Renault_share_pct,Tata_share_pct,Toyota_share_pct,Hyundai_share_pct
2020-02-01,40100,8784,12196,10352,250222,3.5104826913700635,4.874071824220093,4.137126231906067,16.025769117024083
2020-03-01,26300,3269,5676,7023,140143,2.332617397943529,4.050148776606751,5.011309876340595,18.766545599851582
2020-04-01,0,0,0,0,0,,,,
2020-05-01,6883,1753,3152,1641,36576,4.792760279965004,8.617672790901137,4.486548556430446,18.81835083114611
2020-06-01,21320,4634,11419,3866,116928,3.963122605363985,9.765838806787084,3.3063081554460867,18.23344280240832
2020-07-01,38200,6422,15012,5386,197600,3.25,7.597165991902834,2.7257085020242915,19.331983805668017
2020-08-01,45809,8060,18583,6565,235152,3.4275702524324694,7.902548139076002,2.7918112539974143,19.48059127713139
2020-09-01,50313,8805,21200,8116,292883,3.00631992980132,7.238385293786257,2.771072407753267,17.178532041805088
2020-10-01,56605,11005,23600,12373,333660,3.2982676976562963,7.073068392974885,3.7082658994185698,16.964874423065396
2020-11-01,48800,10181,21640,8508,286235,3.5568676087829934,7.560221496322951,2.972382832288155,17.048928328122
2020-12-01,47400,9800,23546,7487,279039,3.512053870605901,8.438246983396585,2.6831374825741205,16.9868728027265
2021-01-01,54365,8209,26980,11126,305747,2.6848996065374315,8.824289363427933,3.6389563920496357,17.78104118764861
2021-02-01,52869,11043,27224,14069,309870,3.5637525413883244,8.78561977603511,4.5402910898118565,17.061671023332366
2021-03-01,54575,12356,29655,14997,322461,3.8317812076499176,9.196460967372797,4.650794979858029,16.924527307178234
2021-04-01,55540,8642,25096,9621,293160,2.947878291717833,8.560513030427071,3.2818256242325012,18.945285850729977
2021-05-01,25365,3620,15180,707,104706,3.4572994861803528,14.49773651939717,0.6752239604225164,24.22497278092946
2021-06-01,42950,6100,24111,8798,257851,2.3657073270997593,9.350749076016768,3.4120480432497837,16.656906508022075
2021-07-01,48042,9787,30184,13103,294330,3.3251792206027244,10.255155777528625,4.451805796215132,16.322495158495567
2021-08-01,46866,9703,28017,12769,259555,3.738321357708386,10.794243994529099,4.919573886074242,18.056288647878098
2021-09-01,33087,7326,25729,9284,185638,3.94639028647152,13.859770090175502,5.001131233906851,17.82339822665618
2021-10-01,37021,8910,33926,12240,259867,3.428676977069039,13.055139744561641,4.710101705872619,14.246133599110314
2021-11-01,37001,5052,29780,13002,245214,2.060241258655705,12.14449419690556,5.302307372336,15.089268965067248
2021-12-01,32312,6130,35300,10833,254270,2.4108231407558893,13.882880402721517,4.260431824438589,12.707751602627129
2022-01-01,44022,8119,40780,7328,294494,2.756932229519107,13.847480763614877,2.488335925349922,14.948352088667342
2022-02-01,43960,6568,39980,8745,302426,2.171770945619755,13.219762851077618,2.8916164615476183,14.535787266967787
2022-03-01,44600,8518,42295,17130,321373,2.650502686908981,13.16071978666534,5.330254875176197,13.877954899758224
2022-04-01,44001,7594,41590,15085,293081,2.5910925648540846,14.190616246020724,5.1470412616307435,15.013255721114641
2022-05-01,42293,5010,43340,10216,294087,1.7035775127768313,14.737135609530513,3.473801970165291,14.381118512549007
2022-06-01,49001,9317,45200,16512,320555,2.906521501770367,14.100544368361124,5.151066119698648,15.286300322877509
2022-07-01,50500,7128,47506,26415,347885,2.0489529585926385,13.655662072236515,7.593026431148224,14.516291303160529
2022-08-01,49510,7012,47170,20975,334095,2.0988042323291283,14.118738682111376,6.278154417156796,14.819138269055209
2022-09-01,49700,7623,47658,22658,362025,2.105655686761964,13.16428423451419,6.258683792555762,13.728333678613355
2022-10-01,48001,7778,45220,16807,339893,2.288367221449103,13.304186905879204,4.944791449073679,14.122385574283673
2022-11-01,48002,6325,46040,13753,324056,1.951823141679216,14.207420939590687,4.244019552176167,14.812871849309998
2022-12-01,38831,6126,40045,10452,275160,2.2263410379415616,14.553350777729321,3.7985172263410383,14.112152929204827
2023-01-01,50106,3008,83990,12728,381805,0.7878367229344824,21.998140411990413,3.3336388994381947,13.123453071594138
2023-02-01,46968,6616,49070,15267,340450,1.9433103245704215,14.413276545748275,4.484358936701425,13.795858422675868
2023-03-01,50600,5389,49523,18670,341752,1.5768744586717853,14.490917390388352,5.4630258198927875,14.80605819424612
2023-04-01,49701,4323,53431,14162,338930,1.275484613341988,15.764612161803324,4.178443926474493,14.664089930074056
2023-05-01,48601,4635,52237,19379,340920,1.3595564941921858,15.322363017716768,5.684324768274082,14.255837146544645
2023-06-01,50001,5450,47240,18237,327544,1.6638985907236892,14.42248980289671,5.567801577803287,15.265429988032142
2023-07-01,50701,3607,47630,20759,351908,1.0249838025847664,13.534787501278744,5.898984961978699,14.40745876763245
2023-08-01,53830,3633,45515,20970,360230,1.008522332953946,12.634983205174471,5.821280848346889,14.943230713710683
2023-09-01,54241,3369,44810,22168,362863,0.9284495801445725,12.349013263959126,6.1091927256292315,14.94806579893789
2023-10-01,55128,3861,48343,20542,390853,0.9878394178885669,12.368588702146331,5.2556843621514995,14.10453546473994
2023-11-01,49451,2452,46070,16924,334868,0.732228818519536,13.757659734581985,5.053931698460288,14.767311298780413
2023-12-01,42750,1988,43471,21372,287204,0.6921909165610507,15.135931254439353,7.441400537596969,14.884890182587988
2024-01-01,57115,3826,53635,23197,393471,0.9723715343697502,13.631246013047976,5.89547895524702,14.515682223086326
2024-02-01,50201,4080,54270,23300,375178,1.0874838076859517,14.465133883116815,6.2103854703634,13.380582017069232
2024-03-01,53001,4225,50105,25119,369381,1.143805447491885,13.564585076113822,6.800295629715659,14.348599413613586
2024-04-01,50201,3707,47885,18700,337070,1.099771560803394,14.206247960364315,5.547809060432551,14.893345595870294
2024-05-01,49151,3709,56700,23959,359057,1.032983620984969,15.791364602277632,6.67275669322698,13.688912902408253
2024-06-01,50103,3553,43527,25752,339418,1.0467918613626856,12.824010512111908,7.587104985592985,14.761444590445999
2024-07-01,49463,2832,44727,29533,342813,0.8261063611940037,13.04705480830657,8.614900835149191,14.428566011207275
2024-08-01,49525,3018,44142,28589,357879,0.8433017863579589,12.334336465676946,7.988454198206657,13.838476132994671
2024-09-01,51101,3217,41065,23802,354977,0.9062558982694653,11.568355132867763,6.7052231553030195,14.395580558740425
2024-10-01,55568,3870,48133,28138,394075,0.9820465647402145,12.214172429106135,7.14026517794836,14.100869123897736
2024-11-01,48246,2811,47063,25183,350596,0.8017775445241817,13.423712763408597,7.182911385184086,13.761138176134354
2024-12-01,42208,2881,44221,26887,323242,0.8912826922244016,13.680462316159412,8.317916607371567,13.057709084834274
2025-01-01,54003,2780,48075,26178,401538,0.692337960541717,11.972714911166564,6.51943278095722,13.449038447170627
2025-02-01,47727,2676,46437,26414,380690,0.7029341458929839,12.198113950983739,6.938453860096142,12.536972339698968
2025-03-01,51820,2846,51616,28373,385860,0.7375732130824652,13.376872440781632,7.353185093038926,13.429741356968849
2025-04-01,44374,2602,45199,24833,353449,0.7361741014969627,12.78798355632637,7.0259075566772005,12.5545694003944
2025-05-01,43861,2502,41557,29280,349711,0.7154478984075422,11.883240733062443,8.372627684001934,12.542070452459317
2025-06-01,44024,2625,37083,26453,317757,0.8261029654736166,11.670238578536429,8.324914950732792,13.854612172194475
2025-07-01,43973,2575,39521,29159,346669,0.7427834620343902,11.40021172934413,8.411193386198363,12.68443385477213
2025-08-01,44001,3015,41001,29287,327504,0.9205994430602373,12.519236406272901,8.942486198641848,13.435255752601494
2025-09-01,51547,4265,59667,27062,378430,1.1270248130433635,15.766984647094576,7.151124382316413,13.621277382871336
2025-10-01,53792,4672,61134,40183,466738,1.0009898486945568,13.098140712776763,8.60932686003711,11.525095449695547
2025-11-01,50340,3662,57436,30030,417440,0.8772518206209275,13.759103104637793,7.1938482177079335,12.059218091222691
2025-12-01,42416,3845,50046,34092,437229,0.8794018695008794,11.446175802611446,7.797287005207797,9.701094849609701
